sample_id,platform,domain,text,sentiment_label,emotion,intensity,formality,has_code_switching,cs_languages,politeness,is_implicit,timestamp,annotator_agreement,word_count,char_count
INDO_00362,Twitter,Produk/E-commerce,"Tas ransel anti air berjalan sesuai standar, seperti biasa saja, customer service-nya just average.",netral,netral,0.23,formal,True,Indo-English,sedang,False,2026-01-22 14:50:25,0.91,14,99
INDO_00074,Instagram,Makanan & Minuman,Martabak manis toping keju memuaskan banget. 😊,positif,terkejut,0.86,informal,False,Indonesia,sedang,False,2026-01-05 20:33:30,0.93,7,46
INDO_00375,Twitter,Layanan,"Layanan reservasi tiket online berjalan sesuai standar, overall quality-nya okay-ish. #curhat",netral,netral,0.14,informal,True,Indo-English,sedang,False,2026-02-23 09:43:46,0.92,11,93
INDO_00156,Instagram,Makanan & Minuman,"Martabak manis toping keju sama sekali tidak mengecewakan, malah memuaskan banget, seneng banget jujur, experience-nya impressive. ✨",positif,senang,0.75,semi-formal,True,Indo-English,rendah,False,2026-02-17 13:16:43,0.83,17,132
INDO_00105,Twitter,Layanan,"Jasa servis kendaraan memuaskan banget, overall quality-nya amazing.",positif,senang,0.88,informal,True,Indo-English,rendah,False,2026-02-13 08:14:14,0.73,8,68
INDO_00395,TikTok,Hiburan & Film,"Film dokumenter tentang budaya daerah berjalan sesuai standar, delivery-nya just average. wkwk",netral,netral,0.01,formal,True,Indo-English,sedang,False,2026-01-28 02:17:37,0.77,12,94
INDO_00378,TikTok,Layanan,"Layanan internet provider berjalan seperti hari-hari biasa saja, sungguh, delivery-nya nothing special. sumpah bener",netral,netral,0.22,formal,True,Indo-English,sedang,True,2026-01-20 21:39:43,0.76,14,116
INDO_00125,Instagram,Sosial & Politik,Kebijakan subsidi BBM memuaskan banget. 🙏,positif,senang,0.93,semi-formal,False,Indonesia,rendah,False,2026-04-16 21:35:32,0.92,6,41
INDO_00069,Instagram,Hiburan & Film,Lagu baru dari penyanyi lokal tetap terasa menyenangkan. 😊,positif,senang,0.94,informal,False,Indonesia,rendah,False,2026-01-17 21:09:51,0.75,9,58
INDO_00451,Twitter,Makanan & Minuman,"Warung makan Padang tidak ada perubahan berarti, ya standar aja sih. #review",netral,netral,0.05,formal,False,Indonesia,sedang,False,2026-04-25 15:53:40,0.83,12,76
INDO_00010,Instagram,Wisata & Travel,"Spot foto di Nusa Penida bagus sekali, di luar dugaan, kaget juga awalnya, delivery-nya so good. 🙏",positif,terkejut,0.66,semi-formal,True,Indo-English,sedang,False,2026-03-23 22:17:53,0.91,17,98
INDO_00195,TikTok,Makanan & Minuman,"Menu ayam geprek ternyata mengecewakan, jujur bikin kecewa, customer service-nya not worth it. parah sih",negatif,sedih,0.73,informal,True,Indo-English,sedang,False,2026-01-07 04:07:04,0.92,15,104
INDO_00407,TikTok,Layanan,"Tidak ada yang berbeda dari layanan bank digital dibanding hari-hari sebelumnya, overall quality-nya just average.",netral,netral,0.39,semi-formal,True,Indo-English,sedang,True,2026-01-06 18:51:54,0.86,15,114
INDO_00085,Twitter,Wisata & Travel,"Desa wisata di Kintamani memuaskan banget, customer service-nya worth it.",positif,senang,0.77,informal,True,Indo-English,rendah,False,2026-01-19 04:39:05,0.89,10,73
INDO_00372,Twitter,Hiburan & Film,"Drama seri yang lagi viral tidak ada perubahan berarti, overall quality-nya okay-ish.",netral,netral,0.02,informal,True,Indo-English,rendah,False,2026-02-12 10:55:36,0.86,12,85
INDO_00389,YouTube,Produk/E-commerce,Jam tangan pintar berjalan sesuai standar. btw,netral,netral,0.1,informal,False,Indonesia,sedang,False,2026-02-15 04:16:42,0.78,7,46
INDO_00496,YouTube,Wisata & Travel,"Kampung wisata di Ubud tidak ada perubahan berarti, seperti biasa saja, overall quality-nya so-so. min",netral,netral,0.09,semi-formal,True,Indo-English,rendah,False,2026-04-09 03:07:34,0.92,15,102
INDO_00031,TikTok,Hiburan & Film,"Serial drama di platform streaming bagus sekali, di luar dugaan, rasanya senang banget, overall quality-nya highly recommended. sumpah bener",positif,senang,0.71,semi-formal,True,Indo-English,sedang,False,2026-04-27 21:36:38,0.89,19,140
INDO_00317,TikTok,Makanan & Minuman,"Bakso beranak sama sekali tidak sesuai, bikin kecewa banget, delivery-nya a waste of money. wkwk",negatif,jijik,0.54,semi-formal,True,Indo-English,rendah,False,2026-01-06 03:39:59,0.72,15,96
INDO_00409,Instagram,Makanan & Minuman,"Bakso beranak berjalan sesuai standar, ya standar aja sih, packaging-nya just average. 😊",netral,netral,0.19,formal,True,Indo-English,sedang,False,2026-04-19 23:35:29,0.93,13,88
INDO_00491,Instagram,Hiburan & Film,"Album baru band indie berjalan seperti hari-hari biasa saja, customer service-nya okay-ish. 🙏",netral,netral,0.05,semi-formal,True,Indo-English,sedang,True,2026-02-08 14:39:02,0.88,13,93
INDO_00492,Instagram,Produk/E-commerce,"Tas ransel anti air tidak ada perubahan berarti, customer service-nya so-so. 🙏",netral,netral,0.22,formal,True,Indo-English,rendah,False,2026-04-16 19:36:40,0.77,12,78
INDO_00281,Instagram,Hiburan & Film,"Sampai harus komplain dua kali gara-gara acara reality show terbaru, experience-nya overrated. 🙏",negatif,sedih,0.65,informal,True,Indo-English,rendah,True,2026-03-23 11:06:14,0.93,13,96
