sample_id,platform,domain,text,sentiment_label,emotion,intensity,formality,has_code_switching,cs_languages,politeness,is_implicit,timestamp,annotator_agreement,word_count,char_count,text_processed,has_negation,has_intensifier,has_euphemism,has_sarcasm_marker,split
INDO_00362,Twitter,Produk/E-commerce,"Tas ransel anti air berjalan sesuai standar, seperti biasa saja, customer service-nya just average.",netral,netral,0.23,formal,True,Indo-English,sedang,False,2026-01-22 14:50:25,0.91,14,99,"tas ransel anti air berjalan sesuai standar, seperti biasa saja, customer service-nya just average.",False,False,False,False,validation
INDO_00074,Instagram,Makanan & Minuman,Martabak manis toping keju memuaskan banget. 😊,positif,terkejut,0.86,informal,False,Indonesia,sedang,False,2026-01-05 20:33:30,0.93,7,46,martabak manis toping keju memuaskan banget. 😊,False,True,False,False,train
INDO_00375,Twitter,Layanan,"Layanan reservasi tiket online berjalan sesuai standar, overall quality-nya okay-ish. #curhat",netral,netral,0.14,informal,True,Indo-English,sedang,False,2026-02-23 09:43:46,0.92,11,93,"layanan reservasi tiket online berjalan sesuai standar, overall quality-nya okay-ish. #curhat",False,False,False,False,test
INDO_00156,Instagram,Makanan & Minuman,"Martabak manis toping keju sama sekali tidak mengecewakan, malah memuaskan banget, seneng banget jujur, experience-nya impressive. ✨",positif,senang,0.75,semi-formal,True,Indo-English,rendah,False,2026-02-17 13:16:43,0.83,17,132,"martabak manis toping keju sama sekali tidak mengecewakan, malah memuaskan banget, seneng banget jujur, experience-nya impressive. ✨",True,True,False,False,train
INDO_00105,Twitter,Layanan,"Jasa servis kendaraan memuaskan banget, overall quality-nya amazing.",positif,senang,0.88,informal,True,Indo-English,rendah,False,2026-02-13 08:14:14,0.73,8,68,"jasa servis kendaraan memuaskan banget, overall quality-nya amazing.",False,True,False,False,train
INDO_00395,TikTok,Hiburan & Film,"Film dokumenter tentang budaya daerah berjalan sesuai standar, delivery-nya just average. wkwk",netral,netral,0.01,formal,True,Indo-English,sedang,False,2026-01-28 02:17:37,0.77,12,94,"film dokumenter tentang budaya daerah berjalan sesuai standar, delivery-nya just average. wkwk",False,False,False,False,validation
INDO_00378,TikTok,Layanan,"Layanan internet provider berjalan seperti hari-hari biasa saja, sungguh, delivery-nya nothing special. sumpah bener",netral,netral,0.22,formal,True,Indo-English,sedang,True,2026-01-20 21:39:43,0.76,14,116,"layanan internet provider berjalan seperti hari-hari biasa saja, sungguh, delivery-nya nothing special. sumpah bener",False,True,True,False,train
INDO_00125,Instagram,Sosial & Politik,Kebijakan subsidi BBM memuaskan banget. 🙏,positif,senang,0.93,semi-formal,False,Indonesia,rendah,False,2026-04-16 21:35:32,0.92,6,41,kebijakan subsidi bbm memuaskan banget. 🙏,False,True,False,False,test
INDO_00069,Instagram,Hiburan & Film,Lagu baru dari penyanyi lokal tetap terasa menyenangkan. 😊,positif,senang,0.94,informal,False,Indonesia,rendah,False,2026-01-17 21:09:51,0.75,9,58,lagu baru dari penyanyi lokal tetap terasa menyenangkan. 😊,False,False,True,False,train
INDO_00451,Twitter,Makanan & Minuman,"Warung makan Padang tidak ada perubahan berarti, ya standar aja sih. #review",netral,netral,0.05,formal,False,Indonesia,sedang,False,2026-04-25 15:53:40,0.83,12,76,"warung makan padang tidak ada perubahan berarti, ya standar aja sih. #review",True,False,False,False,train
